X,Y,area real,Soccer,Basketball,Tennis,Ruins,ArtInstall,NGO,Government,Diplomatic,Coworking,Company,ArtGallery,Restaurant,Hotel,Cafe,Worship,Museum,Theatre,Hospital,University,School,clusterID
3951111,4012864,6912,1,0,0,0,0,0,0,1,0,2,0,3,0,0,2,0,0,0,0,0,5
3951128,4012857,7326,1,0,0,0,0,0,0,1,0,2,0,3,0,0,2,0,0,0,0,0,5
3951143,4012850,7037,1,0,0,0,0,0,0,0,0,2,0,3,0,0,2,0,0,0,0,0,5
3951094,4012819,7134,0,0,0,0,0,0,0,1,0,2,0,3,0,0,1,0,0,0,0,0,5
3951071,4012828,6450,0,0,0,0,0,0,0,1,0,2,0,3,0,0,2,0,0,0,0,0,5
3951062,4012810,6570,0,0,0,0,0,0,0,1,0,2,0,3,0,0,2,0,0,0,0,0,5
3951391,4012923,6500,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,1,0,6
3950676,4012892,6804,0,0,0,0,0,0,1,1,0,2,0,3,1,0,3,0,0,0,0,0,5
3950895,4012938,7424,0,0,0,0,0,0,0,1,0,2,0,4,0,0,3,0,0,0,0,0,5
3951386,4013027,6188,1,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,1,0,6
3951386,4013044,5668,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1,0,6
3950755,4013058,6264,0,0,0,0,0,0,0,1,0,2,0,4,0,0,2,0,0,0,0,0,5
3951377,4013102,5278,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,1,0,6
3950766,4013134,6696,0,0,0,0,0,0,0,1,0,2,0,4,0,0,2,0,0,0,0,0,5
3950752,4013135,5900,0,0,0,0,0,0,0,1,0,2,0,3,0,0,2,0,0,0,0,0,5
3950763,4013078,6757,0,0,0,0,0,0,0,1,0,2,0,4,0,0,2,0,0,0,0,0,5
3950751,4013085,5800,0,0,0,0,0,0,0,1,0,2,0,4,0,0,2,0,0,0,0,0,5
3951303,4013196,6318,1,0,0,0,0,0,0,1,0,0,0,2,0,0,5,0,0,0,1,0,6
3951287,4013200,5954,1,0,0,0,0,0,0,1,0,0,0,2,0,0,5,0,0,0,1,0,6
3950964,4013178,6752,1,0,0,0,0,0,0,1,0,2,0,5,0,0,4,0,0,0,0,0,5
3954457,4012908,4788,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,0,6
3954438,4012904,5430,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,1,0,6
3954344,4012894,6358,0,0,0,0,0,0,1,0,0,0,0,5,0,2,0,0,0,1,1,0,6
3954329,4012852,4092,0,0,0,0,0,0,1,0,0,0,0,3,0,2,0,0,0,1,1,0,6
3954321,4012837,4901,0,0,0,0,0,0,2,0,0,0,0,3,0,2,0,0,0,1,0,0,6
3954343,4012810,4368,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,1,0,0,6
