X,Y,area real,Soccer,Basketball,Tennis,Ruins,ArtInstall,NGO,Government,Diplomatic,Coworking,Company,ArtGallery,Restaurant,Hotel,Cafe,Worship,Museum,Theatre,Hospital,University,School,ID,clusterID
3952221,4012333,1145,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10415,3
3952218,4012318,1165,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10420,3
3952073,4012358,1374,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12630,3
3952049,4012324,1356,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12648,3
3952046,4012343,1278,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12654,3
3952051,4012382,1624,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,14770,3
3952028,4012384,1484,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,14777,3
3951989,4012433,1356,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,15096,3
3952125,4012463,1416,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,15504,3
3952035,4012611,1055,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,14900,3
3954201,4013496,4056,0,0,0,0,0,0,2,0,0,0,0,12,1,3,0,0,0,0,1,0,144456,1
3954271,4013590,4576,0,0,0,0,0,0,2,0,0,0,0,13,1,5,0,0,0,0,0,0,167024,1
3954258,4013570,3550,0,0,0,0,0,0,2,0,0,0,0,13,1,4,0,0,0,0,0,0,160625,1
3954461,4013669,4212,0,0,0,0,0,0,2,0,0,0,0,12,1,5,2,0,0,0,0,0,177346,1
3954778,4013307,2040,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,57336,4
3954755,4013351,2232,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,62064,4
3954749,4013403,1980,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,61567,3
